sch_id,school,charter,county,rating,district,students,low_income,eng_learn,math_meets,math_masters,read_meets,read_masters
057907043,G W KENNEMER MIDDLE,N,DALLAS,B,DUNCANVILLE ISD,869,75,13.6,22,5,42,22
057909041,AUSTIN ACAD FOR EXCELL,N,DALLAS,A,GARLAND ISD,978,46.2,17,69,35,74,57
057909042,BUSSEY MIDDLE,N,DALLAS,C,GARLAND ISD,929,90.2,54.1,20,1,32,13
057909043,SAM HOUSTON MIDDLE,N,DALLAS,B,GARLAND ISD,1008,85.7,57,21,2,32,13
057909045,JACKSON TECHNOLOGY CENTER,N,DALLAS,B,GARLAND ISD,1374,61.3,30.3,7,0,61,40
057909046,O'BANION MIDDLE,N,DALLAS,C,GARLAND ISD,1209,84.9,45.2,14,1,33,13
057909047,CLASSICAL CENTER AT BRANDENBURG MI,N,DALLAS,A,GARLAND ISD,1191,61.5,19.7,33,6,65,38
057909048,SELLERS MIDDLE,N,DALLAS,C,GARLAND ISD,867,81.5,40.4,22,5,42,20
057909050,COYLE MIDDLE,N,DALLAS,C,GARLAND ISD,1006,62.6,20,24,5,42,19
057909051,LYLES MIDDLE,N,DALLAS,B,GARLAND ISD,683,77.6,24.5,32,7,31,18
057909052,B G HUDSON MIDDLE,N,DALLAS,B,GARLAND ISD,1297,44.1,16.8,33,4,57,36
057922042,COPPELL MIDDLE EAST,N,DALLAS,A,COPPELL ISD,955,8.1,6.3,92,74,82,64
057922043,COPPELL MIDDLE WEST,N,DALLAS,A,COPPELL ISD,1289,10.5,8.8,87,66,83,66
057922044,COPPELL MIDDLE NORTH,N,DALLAS,A,COPPELL ISD,983,8.9,6.1,86,63,78,56
070901001,AVALON SCHOOL,N,ELLIS,B,AVALON ISD,362,65.7,5,35,16,52,29
070903042,ENNIS J H,N,ELLIS,B,ENNIS ISD,877,72.1,5.4,41,14,36,19
070905041,FERRIS J H,N,ELLIS,D,FERRIS ISD,607,77.3,32.9,29,8,30,16
074903041,RATHER L H,N,FANNIN,B,BONHAM ISD,268,62.7,12.7,35,6,41,18
074904001,DODD CITY SCHOOL,N,FANNIN,A,DODD CITY ISD,383,40.7,2.9,59,24,59,32
074905001,ECTOR H S,N,FANNIN,B,ECTOR ISD,120,48.3,0.8,20,0,27,7
091901041,PRITCHARD J H,N,GRAYSON,A,BELLS ISD,206,33.5,1.5,46,11,61,43
091902001,COLLINSVILLE H S,N,GRAYSON,B,COLLINSVILLE ISD,237,47.7,5.1,41,10,59,34
091903041,HENRY SCOTT MIDDLE,N,GRAYSON,B,DENISON ISD,718,66,4,43,18,49,30
107901041,ATHENS MIDDLE,N,HENDERSON,C,ATHENS ISD,656,75.8,23.5,37,9,34,19
116901041,CADDO MILLS MIDDLE,N,HUNT,B,CADDO MILLS ISD,437,33,4.8,60,25,65,46
116902041,CELESTE J H,N,HUNT,C,CELESTE ISD,113,54.9,1.8,39,18,37,26
116903043,COMMERCE MIDDLE,N,HUNT,F,COMMERCE ISD,345,62,7.5,25,8,35,22
116910001,CAMPBELL H S,N,HUNT,B,CAMPBELL ISD,165,66.7,4.8,40,15,10,10
116915041,BLAND MIDDLE,N,HUNT,C,BLAND ISD,173,56.6,13.9,33,15,57,26
116916041,BOLES MIDDLE,N,HUNT,C,BOLES ISD,178,50.6,1.7,60,16,43,20
129901041,CRANDALL MIDDLE,N,KAUFMAN,C,CRANDALL ISD,716,51.3,9.2,35,10,46,25
129902041,WARREN MIDDLE,N,KAUFMAN,B,FORNEY ISD,807,18.7,7.1,69,35,62,39
129902042,BROWN MIDDLE,N,KAUFMAN,B,FORNEY ISD,995,34.8,5.3,44,20,45,27
234902041,CANTON J H,N,VAN ZANDT,B,CANTON ISD,519,36.4,2.9,72,26,68,41
